"id","lang","category","question","eng_ans","fake_ans1","fake_ans2","fake_ans3"
"496","Portuguese","Sayings","A pressa é inimiga da perfeição","Haste is the enemy of perfection","Don’t rush things","Slow and steady wins the race","Take your time to do it right"
"497","Portuguese","Sayings","Cão que ladra não morde","A dog that barks doesn’t bite","Talk is cheap","Those who talk a lot do nothing","Actions speak louder than words"
"498","Portuguese","Sayings","Quem tem boca vai a Roma","He who has a mouth goes to Rome","Where there’s a will, there’s a way","You can achieve anything if you try","Don’t give up"
"499","Portuguese","Sayings","Águas passadas não movem moinhos","Past waters don’t move mills","Let bygones be bygones","The past is the past","Don’t dwell on past mistakes"
"500","Portuguese","Sayings","Mente vazia, oficina do diabo","An empty mind is the devil’s workshop","Idleness is the root of trouble","A busy mind is a happy mind","Stay busy to avoid trouble"
"501","Portuguese","Sayings","Quem tudo quer, tudo perde","He who wants everything loses everything","Don’t be greedy","You can’t have it all","Learn to accept limitations"
"502","Portuguese","Sayings","Quem tem, tem medo; quem não tem, tem mais medo","He who has, is afraid; he who doesn’t, is even more afraid","Fear is present for everyone","Those with nothing fear losing everything","Fear is a universal feeling"
"503","Portuguese","Sayings","Casa de ferreiro, espeto de pau","The blacksmith’s house has a wooden skewer","We often neglect our own problems while solving others’","Practice what you preach","Don’t forget to take care of your own things"
"504","Portuguese","Sayings","Longe dos olhos, longe do coração","Out of sight, out of mind","Absence makes the heart grow fonder","When you don’t see someone, you forget about them","Distance cools relationships"
"505","Portuguese","Sayings","O peixe morre pela boca","The fish dies by its mouth","Keep your secrets to yourself","Loose lips sink ships","Talking too much brings trouble"
"506","Portuguese","Sayings","Santo de casa não faz milagre","A saint from home doesn’t perform miracles","People don’t value those close to them","Familiarity breeds contempt","Don’t expect too much from the ones closest to you"
"507","Portuguese","Sayings","Quem espera sempre alcança","He who waits always achieves","Patience is a virtue","Good things come to those who wait","Perseverance leads to success"
"508","Portuguese","Sayings","Coração de mãe é sempre grande","A mother’s heart is always big","A mother’s love is limitless","Mothers are always forgiving","A mother’s love has no bounds"
"509","Portuguese","Sayings","Ninguém é profeta em sua terra","No one is a prophet in their own land","You’re not appreciated in your own hometown","People close to you often overlook your value","Success is often not recognized locally"
"510","Portuguese","Sayings","A esperança é a última que morre","Hope is the last thing to die","Never give up","As long as there’s hope, there’s a chance","Hope is the last refuge"
"511","Portuguese","Sayings","O barato sai caro","What’s cheap ends up expensive","You get what you pay for","Cheap things often have hidden costs","It’s better to pay for quality than regret the price"
"512","Portuguese","Sayings","Vão-se os anéis, ficam os dedos","The rings go, but the fingers stay","You may lose things, but the important things remain","You may lose the small stuff, but the big stuff stays","Life goes on even after loss"
"513","Portuguese","Sayings","Sorte no jogo, azar no amor","Luck in the game, bad luck in love","You can’t have it all","When things go well in one area, they may go wrong in another","Life’s balance"
"514","Portuguese","Sayings","O que os olhos não veem, o coração não sente","What the eyes don’t see, the heart doesn’t feel","Out of sight, out of mind","Ignorance is bliss","What you don’t know won’t hurt you"
"515","Portuguese","Sayings","Cuidado com o que você deseja, pode se tornar realidade","Be careful with what you wish for, it may come true","Be careful what you wish for","Your desires may come to you","Watch what you wish for"
"516","Portuguese","Sayings","Deus ajuda quem cedo madruga","God helps those who wake up early","The early bird catches the worm","Start your day early to succeed","The early riser achieves more"
"517","Portuguese","Sayings","Quem tem fome, tem pressa","He who is hungry, is in a hurry","When you need something, you become impatient","Hunger makes you rush","Desperation leads to haste"
"518","Portuguese","Sayings","Devagar se vai ao longe","Slowly, one goes far","Patience brings success","Slow and steady wins the race","Take your time to reach your goals"
"519","Portuguese","Sayings","A noite é uma criança","The night is young","The night is full of possibilities","It’s never too late to have fun","The evening is always young"
